Species ID	Phylum	Class	Order	Family	Genus	Species	Common names (Eng)	Red List criteria version	Year assessed	Justification	Threats
22691601	Chordata	Aves	Columbiformes	Columbidae	Alectroenas	nitidissimus	Mauritius Blue-pigeon	3.1	2016	This species was found on Mauritius, but it has been hunted to extinction. The last reports date from 1832 and it is thought to have been Extinct a few years later.	
62759683	Chordata	Aves	Columbiformes	Columbidae	Alectroenas	payandeei	Rodrigues Blue-pigeon	3.1	2016		The island was used as a refurbishment station for shipping from at least 1601, presumably leading to the arrival of rats, which were noted to be present in large numbers in 1691-1693 (Leguat 1708, in Hume and Walters 2012) and likely drove the species to extinction.
44579175	Chordata	Reptilia	Squamata	Scincidae	Alinea	luciae	Saint Lucia Skink	3.1	2016	Listed as Extinct on the basis that this species is not known to survive either on Saint Lucia or on any of its satellites, all of which have been well-surveyed over many years, with the likely agent of its extinction being the introduction of mongoose and rats roughly contemporary with the known specimens. Although skinks elsewhere in the Caribbean have been found to survive on small mongoose-free islands, there is no reasonable prospect that this large skink could have survived on Saint Lucia's satellites, which have been subject to intensive work and which represent the only remaining refugia for another lizard species lost from the Saint Lucia mainland. While the continued survival of a remote mainland population cannot be completely ruled out, this island has been subject to sufficiently intensive herpetological survey work that there is thought to be no reasonable doubt that this species is extinct.	
22691052	Chordata	Aves	Columbiformes	Columbidae	Alopecoenas	ferrugineus	Tanna Ground-Dove	3.1	2016	This species is known from Tanna, Vanuatu, but the only record dates from 1774 and it is now Extinct. Hunting is likely to have been the main cause.	It is likely to have become extinct because of hunting and the depredations of human commensals.
22691056	Chordata	Aves	Columbiformes	Columbidae	Alopecoenas	salamonis	Thick-billed Ground Dove	3.1	2016	This species was known from Makira, Solomon Islands, but is now Extinct as a result of predation by introduced species. The last record is a specimen dating from 1927, and searches in 1995 and more recently failed to find it.	The species is likely to have declined through a combination of predation by introduced cats and rats, and habitat destruction. On Makira, introduced rats, pigs, cats and dogs are widespread. Most lowland forest has been logged or is in logging concessions, and the larger pigeons are targeted by local hunters. Ramos remains forested and appears to be free of introduced predators, although hunters from the adjacent islands of Santa Isabel and Malaita make regular journeys to harvest the nesting Nicobar Pigeon Caloenas nicobarica, and may have shot ground-doves on these expeditions (Buckingham et al. 1995, G. Dutson pers. obs. 1998, D. Gibbs in litt. 1999).
22729490	Chordata	Aves	Anseriformes	Anatidae	Alopochen	kervazoi	Reunion Shelduck	3.1	2016	This species was endemic to the island of Réunion, but is now Extinct. The last record came from 1671-1672, and it had been lost to hunting by 1710.	As early as 1667 Martin recorded destruction of the wildfowl and habitat of the Etang de Saint-Paul, and similar processes are likely to have led to its extinction throughout the island.
22728658	Chordata	Aves	Anseriformes	Anatidae	Alopochen	mauritiana	Mauritius Shelduck	3.1	2016	This species was endemic to Mauritius, but is now Extinct. It was last recorded in 1693, when it was said to be rare, and could not be found in 1698. Hunting is thought to have caused its extinction.	"It was presumably heavily hunted because it was described as ""not large, but fat and good""."
22728705	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	martinicana	Martinique Amazon, Martinique Parrot	3.1	2016	This species formerly occurred on Martinique, but it has been driven to extinction by hunting. The last record dates from 1779 and it is thought to have gone Extinct by the end of the 18th century.	Hunting is likely to have caused its extinction.
22728701	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	violacea	Guadeloupe Amazon, Guadeloupe Parrot	3.1	2016	This species was known from Guadeloupe, but it has been driven Extinct by hunting. The last records date from 1779.	It was heavily hunted, and this presumably caused its extinction.
166049	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Anabarilius	macrolepis		3.1	2011		The water level of the lake declined since the 1950s. In 1981 the lake completely dried up (for about 20 days) as a result of water abstraction for agriculture. The lake is also polluted by increased organic pollution caused by sedimentation from the surrounding catchment.
22728666	Chordata	Aves	Anseriformes	Anatidae	Anas	marecula	Amsterdam Island Duck	3.1	2016		It was presumably hunted to extinction by whalers stopping off on the island (Olson and Jouventin 1996).
22728662	Chordata	Aves	Anseriformes	Anatidae	Anas	theodori	Mauritius Duck	3.1	2016	This species was found on Mauritius, but is now Extinct having not been recorded since 1696. Hunting is likely to have caused its extinction.	It was presumably hunted to extinction.
22728814	Chordata	Aves	Passeriformes	Meliphagidae	Anthornis	melanocephala	Chatham Island Bellbird	3.1	2016	This species was found in the Chatham Islands, New Zealand, but it is now Extinct, probably mainly as a result of habitat loss. It was last recorded in 1906, and a search for it in 1938 was unsuccessful.	The reasons for its decline are obscure, but were probably a combination of habitat destruction, predation by introduced rats and cats (Greenway 1967), and over-collection for the museum trade (Oliver 1955).
22728884	Chordata	Aves	Gruiformes	Rallidae	Aphanapteryx	bonasia	Red Rail	3.1	2016	This species was known from Mauritius, but went Extinct around 1693 due to cat predation and hunting.	It was flightless and palatable and therefore was presumably hunted to extinction (Cheke 1987), although introduced cats are also likely to have taken some birds.
1848	Chordata	Actinopterygii	Cyprinodontiformes	Cyprinodontidae	Aphanius	splendens	Gölçük Toothcarp	3.1	2014		The species vanished due to alien species invasion. Alien species were stocked to improve fisheries.
61225	Chordata	Actinopterygii	Cyprinodontiformes	Poeciliidae	Aplocheilichthys	sp. nov. 'Naivasha'		3.1	2004		Competition and predation by introduced species may have led to the extinction of this species.
22710496	Chordata	Aves	Passeriformes	Sturnidae	Aplonis	corvina	Kosrae Starling	3.1	2016	This species was known from the island of Kosrae, Micronesia, but it is now Extinct due to overpredation by introduced rats. The last specimens were taken in 1828, and it was absent when the island was next visited in 1880.	Its extinction was presumably a result of depredation by introduced rats, which were accidentally introduced by whalers and are abundant on the island.
22710511	Chordata	Aves	Passeriformes	Sturnidae	Aplonis	fusca	Norfolk Starling, Tasman Starling	3.1	2016		The extinction of the Lord Howe Island population was probably due to the arrival of black rat Rattus rattus on the island in 1918. The reasons for the extinction of the Norfolk Island population are less clear cut because R. rattus did not reach the island until the 1940s. It may have become extinct as a result of habitat destruction (Garnett 1993). If it did persist undocumented until the 1940s, rats would have most likely played a part in its extinction (Garnett et al. 2011).
22710499	Chordata	Aves	Passeriformes	Sturnidae	Aplonis	mavornata	Mysterious Starling	3.1	2016	This taxon was known from Mauke, Cook Islands, but it is now Extinct due to overpredation by introduced brown rats. The type specimen was taken in 1825, and the species was not found on the next ornithological visit to Mauke in 1975.	
22734867	Chordata	Aves	Passeriformes	Sturnidae	Aplonis	ulietensis	Raiatea Starling, Bay Thrush, Bay Starling	3.1	2016	This Extinct species is known only from a 1774 painting of the type specimen, contemporary descriptions and a few field notes. It occurred on Raiatea (French Polynesia).	It is assumed that the arrival of introduced species such as rats were the cause of the extinction of the species.
22724513	Chordata	Aves	Psittaciformes	Psittacidae	Ara	tricolor	Cuban Macaw	3.1	2016		Its extinction was caused by hunting for food and felling of nesting trees to capture young birds for pets (Forshaw and Cooper 1989).
54518	Chordata	Amphibia	Anura	Bufonidae	Atelopus	ignescens	Quito Stubfoot Toad, Jambato Toad	3.1	2004		It probably disappeared due to the synergistic effects of the disease chytridiomycosis-confirmed in this species-and climatic change (local warming and droughts). Habitat loss and the introduction of predatory non-native trout might also have contributed to some population declines, however these threats are unlikely to have caused the substantial decline of the species throughout its range.
54522	Chordata	Amphibia	Anura	Bufonidae	Atelopus	longirostris	Longnose Stubfoot Toad, Scrawny Stubfoot-toad	3.1	2004		The decline in Ecuador is unexplained, and is possibly due to the disease chytridiomycosis, although this seems unusual given that the species was also found at lower elevations where chytridiomycosis is often not considered to be a threat. Other possible factors contributing to the extinction of this species include general climate change, pollution and habitat loss.
54561	Chordata	Amphibia	Anura	Bufonidae	Atelopus	vogli		3.1	2004		The species is believed to have become extinct following the extensive conversion of its habitat to agricultural use.
22728754	Chordata	Aves	Gruiformes	Rallidae	Atlantisia	podarces	St Helena Crake	3.1	2016		It was large and flightless, and therefore probably hunted to extinction by humans and introduced predators.
61247	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Barbus	microbarbis		3.1	2016		Introduction of Tilapia and Haplochromis species led to the extinction of the species in Lake Luhondo (De Vos et al. 1990).
62183030	Chordata	Aves	Accipitriformes	Accipitridae	Bermuteo	avivorus	Bermuda Hawk	3.1	2016		The cause of extinction is unknown, but may have been a combination of hunting for food and the introduction of feral pigs and other animals.
71510353	Chordata	Mammalia	Diprotodontia	Potoroidae	Bettongia	anhydra	Desert Bettong	3.1	2016		The Desert Bettong was probably driven to extinction because of predation by introduced Red Foxes and feral domestic cats, perhaps combined with inappropriate fire regimes.There is strong evidence for decline and extinction of critical weight range mammals due to predation by Red Foxes (Vulpes vulpes); Short (1998) documented a close correlation between the extinction of bettongs in New South Wales and the arrival of the Red Fox.There is strong evidence for decline and extinction of desert critical weight range mammals due to predation by feral domestic cats; attempts to reintroduce Boodies B. lesueur to mainland areas where Red Foxes were controlled failed because of predation by feral cats (Christensen and Burrows 1994).When Aboriginal people moved to settlements, fire regimes in the western deserts changed from mostly small fires resulting in a mosaic of fire ages to one of infrequent, very large summer fires (Latz 1995), with consequences for food availability and habitat suitability demonstrated for small desert macropods (Bolton and Latz 1978).
136721	Chordata	Mammalia	Cetartiodactyla	Bovidae	Bos	primigenius	Aurochs	3.1	2008		In central Poland in the forests of the village of Jaktorow for several centuries the managed of the remaining aurochs was well organised. Initially the animals were owned by nobility, but later they became royal possessions. There they were protected and fed during the winter period. However, the Kings Zygmunt I and his successor Zygmunt August had less interest than their predecessors and did little to preserve the animals, and the conservation measures weakened. After 1572, a period of political turmoil lead to a decrease in influence of the King. By 1604 only a few aurochs remained, and a Royal decree was issued stating that everything needed to be done to protect the aurochs and its habitat, but this was not enough (Van Vuure, 2003). The species disappeared because of hunting and competition on its feeding grounds with domesticated cattle (The Extinction Website, 2007). The last aurochs in Poland disappeared through a combination of lack of interest, corruption, cattle diseases, food competition (from domesticated cattle), and to a lesser extent, hunting (Van Vuure, 2003).
3121	Chordata	Mammalia	Rodentia	Echimyidae	Brotomys	voratus	Hispaniolan Edible Rat	3.1	2016		Driven to extinction by introduced rats. Was hunted by Arawak Indians prior to European arrival.
22728804	Chordata	Aves	Procellariiformes	Procellariidae	Bulweria	bifax	Small St Helena Petrel, St. Helena Bulwer's Petrel	3.1	2016	This species was endemic to the island of St Helena, but is thought to have been hunted to extinction shortly after the island's discovery in 1502.	Predation by people and introduced predators is likely to have driven it to extinction.
155997	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Bythinella	gibbosa		3.1	2010		The species was recorded from springs in the small villages adjacent to Toulouse in the 1850-1860's, however these locations are now all part of the city of Toulouse, and the sites are believed to have been lost during urbanisation.
22728873	Chordata	Aves	Gruiformes	Rallidae	Cabalus	modestus	Chatham Rail, Chatham Islands Rail, Chatham Island Rail	3.1	2016		Its extinction was presumably caused by predation by rats and cats (which were introduced in the 1890s), habitat destruction to provide sheep pasture (which destroyed all of the island's bush and tussock grass by 1900), and from grazing by goats and rabbits (Marchant and Higgins 1993). On Chatham and Pitt Islands Olson (1975c) has suggested that its extinction resulted from competition with the larger Dieffenbach's Rail Gallirallus dieffenbachii (also extinct), but the two species have been shown to have been sympatric on Mangere (Tennyson and Millener 1994).
3626	Chordata	Mammalia	Diprotodontia	Potoroidae	Caloprymnus	campestris	Desert Rat Kangaroo, Plains Rat-kangaroo, Buff-nosed Rat-kangaroo, Desert Rat-kangaroo	3.1	2016		Extinction is considered to have been due to predation by red foxes and feral cats. Habitat degradation by introduced herbivores may have contributed to the extinction.
153825	Arthropoda	Malacostraca	Decapoda	Cambaridae	Cambarellus	alvarezi		3.1	2010		The pond habitat of this species is thought to have been relatively stable between 1960 and 1989 (Rodriguez and Campos 1994). However, since then, intensive pumping of groundwater for agriculture has led to a dramatic reduction in the size of the pond and the amount of aquatic vegetation that it supports (Rodriguez and Campos 1994, Contreras-Balderas and Lozano-Vilano 1996). Furthermore, this location is now known to be completely dry, confirmed in 2006 and 2009 (C. Pedraza-Lara pers. comm. 2010).
153621	Arthropoda	Malacostraca	Decapoda	Cambaridae	Cambarellus	chihuahuae		3.1	2010		Ojo de Carbonera spring is threatened by increased pumping of groundwater for irrigation, which has already resulted in the failure of other spring flows in nearby areas (Echelle et al. 2003). An increased level of desiccation has also been reported from the area once occupied by this species (C. Pedraza-Lara pers. comm. 2010). This seems to have led to the complete desiccation of most, if not all, of the springs which formerly supported populations of this species (F. Alvarez pers. comm. 2010), while the agricultural industry responsible for this water abstraction has now collapsed in the area owing to a lack of groundwater.
22680418	Chordata	Aves	Anseriformes	Anatidae	Camptorhynchus	labradorius	Labrador Duck	3.1	2016		Shooting and trapping on the winter quarters were certainly proximate factors in the species's extinction. Overharvest of birds and eggs on the breeding grounds could also have been a factor (Chilton 1997), and it is likely that ecosystem-level effects following the arrival of Europeans reduced the supply of available food (Gourdin 2009).
22728892	Chordata	Aves	Falconiformes	Falconidae	Caracara	lutosa	Guadalupe Caracara	3.1	2016		The island was once heavily vegetated, but grazing by goats has almost entirely denuded it (Jehl 1983). However, the primary cause of the species's decline was direct persecution by settlers (Greenway 1967).
22720622	Chordata	Aves	Passeriformes	Fringillidae	Carpodacus	ferreorostris	Bonin Grosbeak	3.1	2016		It seems reasonable to surmise from its ecology that its extinction resulted from the deforestation of the islands, and the introduction of cats and rats (Stattersfield et al. 1998).
4097	Chordata	Reptilia	Squamata	Anguidae	Celestus	occiduus	Jamaica Giant Galliwasp, Sinking Galliwasp	2.3	1996	Last recorded in 1840, it is thought that the introduction of predatory species (e.g., mongooses) to Jamaica resulted in the extinction of Celestus occiduus.	The introduction of predatory species (e.g., mongooses) may have resulted in the extinction of the Jamaica Giant Galliwasp.
196771	Arthropoda	Arachnida	Opiliones	Podoctidae	Centrobunus	braueri		3.1	2014		This species was threatened by habitat deterioration due to the effects of invasive plant species, especially the tree Cinnaomomum verum. Since the species was last recorded in 1894 habitat degradation has been severe on Mahe and as a result the remaining area of relatively healthy habitat is extremely small.
4322	Chordata	Mammalia	Peramelemorphia	Chaeropodidae	Chaeropus	ecaudatus	Pig-footed Bandicoot	3.1	2016		The extinction of the Pig-footed Bandicoot is attributed to predation by feral cats and red foxes. The impact of exotic disease is unknown, but possible. Habitat degradation by introduced stock would have occurred in some, minor parts of the former range.
22704348	Chordata	Aves	Passeriformes	Mohoidae	Chaetoptila	angustipluma	Kioea	3.1	2016		Deforestation, hunting and introduced predators are likely to have contributed to this species's extinction.
184510	Mollusca	Bivalvia	Unionoida	Iridinidae	Chambardia	letourneuxi		3.1	2010		Aquatic pollution threatens this species.
9017	Chordata	Reptilia	Testudines	Testudinidae	Chelonoidis	abingdonii	Pinta Giant Tortoise, Abingdon Island Tortoise	3.1	2016	With the death of the last known Pinta Tortoise, Lonesome George (in captivity since 1972), on 24 June 2012, the species went extinct. Extensive surveys have failed to find other tortoises on Pinta or in any of the world's zoos. Tortoises with up to 50% abingdonii genes have been reported from Volcan Wolf on northern Isabela, including first generation hybrids, but no pure individuals of abingdonii are known to exist (TEWG, 2015). This assessment incorporates contributions from the international workshop on Galapagos tortoises convened by the Galapagos National Park Directorate in July 2012.	Chelonoidis abingdonii was heavily exploited by whalers and other mariners in the 19th century as on-board food supplies, which severely depleted the population. By the 20th century, few tortoises remained and some exploitation continued by local fishermen. In addition, extensive deforestation by goats, introduced to Pinta in 1959, destroyed tortoise habitat (Pritchard 1996).
62239833	Chordata	Aves	Anseriformes	Anatidae	Chenonetta	finschi	Finsch's Duck	3.1	2016		It may have become reduced in range and population before human settlement. Extinction occurred after Polynesian settlement but there is uncertainty whether the species persisted into European times. It was probably extremely vulnerable to egg predation by Polynesian rats Rattus exulans, and was hunted by early Maori. Rats may have also competed for food. It is unclear what impact habitat modification would have had on the species (Adams 2013).
4639	Mollusca	Gastropoda	Stylommatophora	Subulinidae	Chilonopsis	nonpareil	Great Saint Helena Awl Snail	3.1	2014		A live specimen of this species has never been found; the only records are pre-1875 and are of sub-fossil shells. While there is no documentary evidence on the causes of decline it is probable that this species was severely impacted by extensive habitat modification by goats, pigs and rabbits; while the goats and pigs have been removed rabbits are still present. It is also possible that direct predation by invasive non-native species such as rats, mice and the large, aggressive centipede Scolopendra morsitans Linnaeus, 1758 added to the pressure on this species.
13152363	Chordata	Reptilia	Squamata	Scincidae	Chioninia	coctei	Cape Verde Giant Skink, Bibron's Skink, Cocteau's Lizard	3.1	2013		Rats, cats and dogs have all been introduced to Santa Luzia, where they represented the major predators of this lizard (Andreone and Guarino 2003). As well as directly preying on the skink, rats and cats competed with them for food and may have caused declines in the seabird colonies on which this lizard relies. Particularly in times of drought, humans have also used the skink as a food source (Schleich 1982), for medicine and skins (Bocage 1873), and commercial trade for scientific purposes (Andreone and Guarino 2003). Low population numbers and recruitment, slow growth rates (Andreone and Guarino 2003), and a restricted range on a single island and two smaller islets all put this skink at extremely high risk from these threatening processes, as well as from stochastic events (particularly droughts, thought likely to have contributed to the species' extinction - Andreone 2000), and it is now thought to be extinct.
22728825	Chordata	Aves	Passeriformes	Fringillidae	Chloridops	kona	Kona Grosbeak, Grosbeak Finch	3.1	2016	This species was known from the Hawaiian island of Lana'i, USA, but it has not been recorded since 1894 and is now Extinct. Logging of its forest habitat coupled with the impacts of introduced predators is likely to have caused the loss of this species.	
22687333	Chordata	Aves	Caprimulgiformes	Trochilidae	Chlorostilbon	bracei	Brace's Emerald	3.1	2016	This species is known from the island of New Providence, Bahamas, but has been driven to extinction by human disturbance. A specimen was taken in 1877 and it was probably Extinct soon afterwards: subsequent collectors found no trace of it.	
22728709	Chordata	Aves	Caprimulgiformes	Trochilidae	Chlorostilbon	elegans	Caribbean Emerald	3.1	2016		Reasons for its extinction are difficult to infer, though the extinction of its preferred food plants or habitat through deforestation, or predation by introduced mammals may be responsible.
22720840	Chordata	Aves	Passeriformes	Fringillidae	Ciridops	anna	Ula-ai-hawane, Ula-'ai-hawane	3.1	2016	This species is known from Hawaii's Big Island, USA, but it is now Extinct due to logging of its forest habitat. The last confirmed records date from 1892.	Nothing is known about the causes of its extinction (Greenway 1967), although deforestation and avian malaria are likely to have been contributing factors. Habitat change may have exposed the population to unusually high numbers of rats (W.E. Banko and P.C. Banko 2009).
62178398	Chordata	Aves	Charadriiformes	Scolopacidae	Coenocorypha	barrierensis	North Island Snipe	3.1	2016	This species was extirpated from its historic range by introduced mammalian predators; it was last recorded in 1870 and is classified as Extinct.	The introduction of Pacific rats and feral cats presumably brought about the extinction of this species.
22727515	Chordata	Aves	Charadriiformes	Scolopacidae	Coenocorypha	iredalei	South Island Snipe	3.1	2016	This species has been extirpated from its historic range by introduced mammalian predators; it was last recorded in 1964 and is classified as Extinct.	Many local extinctions have occurred in the past, probably caused by various introductions of Pacific rat Rattus exulans, cats, pigs and Weka Gallirallus australis (Higgins and Davies 1996). The accidental introduction of black rats Rattus rattus onto Stewart Island in 1964 presumably brought about the extinction of C. iredalei.
62322970	Chordata	Aves	Piciformes	Picidae	Colaptes	oceanicus	Bermuda Flicker	3.1	2016		The cause of extinction is unknown, but may have been driven by the decline of native cedar and palmetto trees following human colonisation, along with the arrival of alien predators and competitors.
62254534	Chordata	Aves	Columbiformes	Columbidae	Columba	thiriouxi	Mauritius Woodpigeon	3.1	2016		This species was apparently easily caught, and probably became extinct as a result of overhunting, predation by Black Rats, and deforestation (Hume and Walters 2012).
22690218	Chordata	Aves	Columbiformes	Columbidae	Columba	versicolor	Bonin Woodpigeon, Bonin Wood-Pigeon	3.1	2016		Its extinction presumably resulted from clearance of the islands' subtropical evergreen forest, and from predation by introduced cats and rats (Stattersfield et al. 1998).
5223	Chordata	Mammalia	Rodentia	Muridae	Conilurus	albipes	White-footed Rabbit-rat	3.1	2016		Previously very common and widespread, this species declined to extinction very rapidly with decline occurring across a wide range of habitats, in areas transformed by expanding pastoralism and spread of rabbits, and in areas without such modification. The primary cause of decline was probably predation by feral cats, but resource depletion and habitat change due to clearing, livestock, changed fire regimes and rabbits may have contributed to the decline in some areas (Woinarski et al. 2014).
75927841	Chordata	Mammalia	Rodentia	Muridae	Conilurus	capricornensis	Capricorn Rabbit-rat	3.1	2016		This species has never been recorded alive, so assessment of threats is speculative. It was probably affected by the same threats that contributed to the extinction of Conilurus albipes - most likely predation by feral cats, but also reduction in food resources and habitat quality due to spread of pastoralism, clearing and changes in fire regime.
63488699	Chordata	Reptilia	Squamata	Teiidae	Contomastix	charrua		3.1	2016		It seems likely that the increasing human settlement of Cabo Polonio by people, with an attendant increase in the numbers of predatory dogs and cats, and massive tourism, particularly during the summer months (the lizards's reproductive season) could have caused its extinction (Cabrera and Carreira 2009).
22685776	Chordata	Aves	Psittaciformes	Psittacidae	Conuropsis	carolinensis	Carolina Parakeet	3.1	2016		The main causes of the species's extinction were persecution (for food, crop protection, aviculture and the millinery trade), and deforestation (especially of the bottomlands), probably compounded by its gregarious nature (Saikku 1991), and by competition with introduced bees (McKinley 1960).
47102774	Chordata	Reptilia	Squamata	Scincidae	Copeoglossum	redondae	Redonda Skink	3.1	2016		It is likely that black rats preyed on this terrestrial lizard (Hedges and Conn 2012), and it may have been reliant to some degree on native vegetation, invertebrates and litter structure which has now been lost. Almost no vegetation remains on Redonda due to overgrazing by goats. Given this, the failure of multiple targeted surveys to record it, and the apparent sensitivity of skinks on Caribbean islands - many of which have drastically declined or been lost following mammal introductions - Copeoglossum redondae is presumed to be extinct.
135627	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	fera		3.1	2008		The reasons for the extinction are thought to be eutrophication and overfishing in the early 1900s.
135506	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	gutturosus		3.1	2008		Eutrophication which peaked in 1979. Natural reproduction in coregonids is said to have almost stopped during the period of high eutrophication as the eggs could no longer develop in the low-oxygen substrates.
135671	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	hiemalis		3.1	2008		The reasons for the extinction are thought to be eutrophication and overfishing in the early 1900s.
5371	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	nigripinnis	Blackfin Cisco	2.3	1996	Formerly occurred in the Great Lakes, where it is now extinct; last known specimens were taken from Lake Huron in 1923 and from Lake Michigan in 1969. The decline and extinction of this species was due to overfishing, sea lamprey predation, and introgressive hybridization.	
135570	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	restrictus		3.1	2008		Eutrophication which happened before 1950s.
5438	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Cottus	echinatus	Utah Lake Sculpin	3.1	2013		Decreased water quality associated with agriculture, introduced fishes, and drought-associated low lake levels in 1930s may have led to extinction (Lee et al. 1980, Miller et al. 1989).
22678955	Chordata	Aves	Galliformes	Phasianidae	Coturnix	novaezelandiae	New Zealand Quail 	3.1	2016	This species formerly occurred on New Zealand's South Island, but is now Extinct, probably due to diseases spread by introduced game birds. A bird that died in 1875 is thought to represent the last individual of the species.	
22684143	Chordata	Aves	Cuculiformes	Cuculidae	Coua	delalandei	Snail-eating Coua, Delalande's Coua	3.1	2016		The complete deforestation of Ile de Sainte-Marie was presumably the ultimate cause of its extinction (Goodman 1993). Snaring for feathers and food and predation by introduced rats may also have contributed to the species's demise (Collar et al. 1994).
56513	Chordata	Amphibia	Anura	Craugastoridae	Craugastor	chrysozetetes	McCranie's Robber Frog	3.1	2004		The species is believed to have disappeared through a combination of threats including deforestation resulting from agricultural encroachment, human settlement of the region, logging, fires and landslides. The area from which this species was recorded is subject to extensive landslides; these often severely impact the species habitat. It should be additionally noted that all streamside Craugastor above 900m asl have disappeared in Honduras in a manner that is consistent with the disease chytridiomycosis.
56588	Chordata	Amphibia	Anura	Craugastoridae	Craugastor	escoces	Heredia Robber Frog	3.1	2004		The most likely cause of its disappearance in suitable habitats is the disease chytridiomycosis, perhaps in combination with climate change or other, unknown, factors.
41320	Chordata	Mammalia	Didelphimorphia	Didelphidae	Cryptonanus	ignitus	Red-bellied Gracile Mouse Opossum	3.1	2016		The major threats to this species, which are presumed to have driven it to extinction, are the human impact of agricultural and technological development, cattle ranching, and deforestation (Daz et al. 2002).
22728673	Chordata	Aves	Psittaciformes	Psittacidae	Cyanoramphus	ulietanus	Raiatea Parakeet	3.1	2016	This species was known from the island of Raiatea, French Polynesia, but it is now Extinct, probably as a result of habitat clearance or the action of invasive species. Two specimens were collected in 1773 and its extinction likely followed.	Its extinction was probably the result of the clearance of the islands' forests, hunting, or predation by introduced species (Forshaw and Cooper 1989).
22685182	Chordata	Aves	Psittaciformes	Psittacidae	Cyanoramphus	zealandicus	Black-fronted Parakeet	3.1	2016		Its demise could have resulted from habitat loss, hunting or predation by introduced species (Forshaw and Cooper 1989).
